Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Name
0,3,male,22,1,0,7.25,Mr. Owen Harris Braund
1,1,female,38,1,0,71.2833,Mrs. John Bradley (Florence Briggs Thayer) Cumings
1,3,female,26,0,0,7.925,Miss. Laina Heikkinen
1,1,female,35,1,0,53.1,Mrs. Jacques Heath (Lily May Peel) Futrelle
0,3,male,35,0,0,8.05,Mr. William Henry Allen
0,3,male,27,0,0,8.4583,Mr. James Moran
0,1,male,54,0,0,51.8625,Mr. Timothy J McCarthy
0,3,male,2,3,1,21.075,Master. Gosta Leonard Palsson
1,3,female,27,0,2,11.1333,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson
1,2,female,14,1,0,30.0708,Mrs. Nicholas (Adele Achem) Nasser
1,3,female,4,1,1,16.7,Miss. Marguerite Rut Sandstrom
1,1,female,58,0,0,26.55,Miss. Elizabeth Bonnell
0,3,male,20,0,0,8.05,Mr. William Henry Saundercock
0,3,male,39,1,5,31.275,Mr. Anders Johan Andersson
0,3,female,14,0,0,7.8542,Miss. Hulda Amanda Adolfina Vestrom
1,2,female,55,0,0,16,Mrs. (Mary D Kingcome) Hewlett
0,3,male,2,4,1,29.125,Master. Eugene Rice
1,2,male,23,0,0,13,Mr. Charles Eugene Williams
0,3,female,31,1,0,18,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke
1,3,female,22,0,0,7.225,Mrs. Fatima Masselmani
0,2,male,35,0,0,26,Mr. Joseph J Fynney
1,2,male,34,0,0,13,Mr. Lawrence Beesley
1,3,female,15,0,0,8.0292,Miss. Anna McGowan
1,1,male,28,0,0,35.5,Mr. William Thompson Sloper
0,3,female,8,3,1,21.075,Miss. Torborg Danira Palsson
1,3,female,38,1,5,31.3875,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund
0,3,male,26,0,0,7.225,Mr. Farred Chehab Emir
0,1,male,19,3,2,263,Mr. Charles Alexander Fortune
1,3,female,24,0,0,7.8792,Miss. Ellen O'Dwyer
0,3,male,23,0,0,7.8958,Mr. Lalio Todoroff
0,1,male,40,0,0,27.7208,Don. Manuel E Uruchurtu
1,1,female,48,1,0,146.5208,Mrs. William Augustus (Marie Eugenie) Spencer
1,3,female,18,0,0,7.75,Miss. Mary Agatha Glynn
0,2,male,66,0,0,10.5,Mr. Edward H Wheadon
0,1,male,28,1,0,82.1708,Mr. Edgar Joseph Meyer
0,1,male,42,1,0,52,Mr. Alexander Oskar Holverson
1,3,male,18,0,0,7.2292,Mr. Hanna Mamee
0,3,male,21,0,0,8.05,Mr. Ernest Charles Cann
0,3,female,18,2,0,18,Miss. Augusta Maria Vander Planke
1,3,female,14,1,0,11.2417,Miss. Jamila Nicola-Yarred
0,3,female,40,1,0,9.475,Mrs. Johan (Johanna Persdotter Larsson) Ahlin
0,2,female,27,1,0,21,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin
1,2,female,3,1,2,41.5792,Miss. Simonne Marie Anne Andree Laroche
